Code Rep;Code Clt;lib famille;lib sfam;cp cli liv;ville cli liv;date doc;Vte Facturées;Marge %(BA)
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;AMORTISSEUR;;;17/11/2017;86.93;31.04
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;VERIN DE HAYON;;;15/12/2017;31.17;37.5
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROULEMENT;;;06/07/2017;0;0
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROULEMENT;;;13/10/2017;23.76;35.02
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROULEMENT;;;07/12/2017;21;-47.81
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;20/04/2017;141.84;43.1
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;26/04/2017;78.04;36.61
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;13/06/2017;44.45;38
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;23/06/2017;0;0
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;12/07/2017;157.04;30.94
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;25/07/2017;22.95;36.51
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;18/09/2017;139.75;34.62
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;10/10/2017;63.6;46.67
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;BUTEE, SEMELLE, COUPELLE, KIT DE PROTECTION;;;03/07/2017;-53.4;26.67
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;BUTEE, SEMELLE, COUPELLE, KIT DE PROTECTION;;;18/09/2017;54.92;26.66
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;DIVERS PSD 0;;;27/04/2017;62.71;35.46
14;D00634;VITRAGE;ABRASIF, MASQUAGE;;;21/09/2017;4;36.5
14;D00634;VITRAGE;ABRASIF, MASQUAGE;;;27/11/2017;35.68;29.99
14;D00634;VITRAGE;RETROVISEUR, MIROIR;;;24/05/2017;17.38;36.54
14;D00634;VITRAGE;RETROVISEUR, MIROIR;;;12/06/2017;65.04;45.3
14;D00634;VITRAGE;RETROVISEUR, MIROIR;;;19/06/2017;89.48;31.63
14;D00634;VITRAGE;RETROVISEUR, MIROIR;;;21/07/2017;24.49;39.4
14;D00634;VITRAGE;RETROVISEUR, MIROIR;;;10/11/2017;0;0
14;D00634;VITRAGE;RETROVISEUR, MIROIR;;;17/11/2017;25.58;32.64
14;D00634;VITRAGE;ACCESSOIRE PARE BRISE, VITRAGE;;;19/04/2017;6.99;52.07
14;D00634;VITRAGE;ACCESSOIRE PARE BRISE, VITRAGE;;;03/08/2017;7.99;58.07
14;D00634;VITRAGE;DIVERS VITRAGE 0;;;15/05/2017;28.73;25.69
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;23/10/2017;20.75;36
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;26/10/2017;27.2;35.99
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;02/11/2017;41.94;46.66
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;08/11/2017;0.45;-177.78
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;21/11/2017;148.8;35.55
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;24/11/2017;22.96;41.81
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;07/12/2017;37.25;36
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;TRANSMISSION;;;12/05/2017;227.34;34.55
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;BUTEE, SEMELLE, COUPELLE, KIT DE PROTECTION;;;20/06/2017;53.4;31.67
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;BUTEE, SEMELLE, COUPELLE, KIT DE PROTECTION;;;15/09/2017;165.34;51.11
14;D00634;VITRAGE;RETROVISEUR, MIROIR;;;19/04/2017;49.39;45.05
14;D00634;VITRAGE;RETROVISEUR, MIROIR;;;28/06/2017;27.2;35.07
14;D00634;VITRAGE;RETROVISEUR, MIROIR;;;23/11/2017;81.54;33.66
14;D00634;VITRAGE;RETROVISEUR, MIROIR;;;19/12/2017;77.4;31.63
14;D00634;VITRAGE;DIVERS VITRAGE 0;;;29/08/2017;19.16;51.1
14;D00634;VITRAGE;DIVERS VITRAGE 0;;;03/10/2017;144.46;36.9
14;D00634;VITRAGE;DIVERS VITRAGE 0;;;13/10/2017;12.42;44.61
14;D00634;VITRAGE;DIVERS VITRAGE 0;;;07/12/2017;10;39.9
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;20/06/2017;49.82;37.47
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;25/07/2017;14.16;17.23
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;10/08/2017;306.95;9.66
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;27/09/2017;11.95;28.87
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;10/10/2017;13.9;14.17
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;23/10/2017;18.48;35.01
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;26/10/2017;20.25;38.86
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;02/11/2017;60.69;34.65
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;08/11/2017;33.3;2.79
14;D00634;EQUIPEMENT ATELIER;MATERIEL;;;20/04/2017;8;100
14;D00634;EQUIPEMENT ATELIER;MATERIEL;;;20/06/2017;72.03;26.21
14;D00634;EQUIPEMENT ATELIER;MATERIEL;;;06/07/2017;107.65;30
14;D00634;EQUIPEMENT ATELIER;MATERIEL;;;07/08/2017;99.9;28.82
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;19/04/2017;2.39;56.07
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;02/05/2017;8.79;49.94
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;15/05/2017;17.01;42.92
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;18/05/2017;19.77;31.56
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;24/05/2017;78.68;28.08
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;31/05/2017;11.31;38.99
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;09/06/2017;38.46;32.01
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;21/07/2017;9.88;38.46
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;31/07/2017;13.26;33.63
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;07/09/2017;16.14;9.6
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;13/10/2017;24.81;48.65
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;16/10/2017;48.11;40.07
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;20/11/2017;15.66;42.85
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;19/12/2017;16.34;16.46
14;D00634;EQUIPEMENT ATELIER;DIVERS EQUIPEMENT ATELIER;;;06/06/2017;17.9;35.47
14;D00634;EQUIPEMENT ATELIER;DIVERS EQUIPEMENT ATELIER;;;19/12/2017;6.6;46.21
14;D00634;LIQUIDE;HUILE MOTEUR;;;25/04/2017;40.26;38.67
14;D00634;LIQUIDE;HUILE MOTEUR;;;30/05/2017;31.27;45.95
14;D00634;LIQUIDE;HUILE MOTEUR;;;12/06/2017;75.42;40.8
14;D00634;VITRAGE;ACCESSOIRE PARE BRISE, VITRAGE;;;19/05/2017;11.99;44.12
14;D00634;VITRAGE;DIVERS VITRAGE 0;;;18/10/2017;21.45;26.71
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;27/07/2017;115.15;-108.82
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;02/10/2017;58;-11.97
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;18/10/2017;13.9;14.17
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;25/10/2017;24.38;32.98
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;29/11/2017;166.68;27.78
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;15/12/2017;973.6;16.65
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;28/12/2017;17.5;21.43
14;D00634;EQUIPEMENT ATELIER;MATERIEL;;;05/05/2017;8;54.5
14;D00634;EQUIPEMENT ATELIER;MATERIEL;;;06/06/2017;3.25;38.46
14;D00634;EQUIPEMENT ATELIER;MATERIEL;;;13/11/2017;70.06;25.01
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;14/04/2017;4.1;23.17
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;24/04/2017;1.36;42.65
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;16/05/2017;79.76;25.69
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;26/05/2017;15.95;40
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;01/06/2017;19.18;37.54
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;27/06/2017;12.1;42.31
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;13/07/2017;9.7;41.34
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;30/08/2017;5.58;42.65
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;12/09/2017;17.86;47.42
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;05/12/2017;56.74;32.55
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;08/12/2017;23.83;60.01
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;11/12/2017;5;42.2
14;D00634;EQUIPEMENT ATELIER;DIVERS EQUIPEMENT ATELIER;;;20/04/2017;12.43;23.41
14;D00634;EQUIPEMENT ATELIER;DIVERS EQUIPEMENT ATELIER;;;11/10/2017;6.6;39.7
