1;V01191;FREINAGE;DISQUE;95000;CERGY;25/08/2017;110;36
6;V00752;ENTRAINEMENT;KIT DE DISTRIBUTION AVEC POMPE A EAU;95450;VIGNY;21/07/2015;168.09;41.54
7;V00676;FREINAGE;PLAQUETTE;95520;OSNY;13/10/2016;34.08;32.63
1;V01191;ENTRAINEMENT;COURROIES;95000;CERGY;12/06/2017;9.98;39.98
6;V00228;EQUIPEMENT ATELIER;CONSOMABLE;95300;ENNERY;12/04/2016;32.60;42.85
7;V00676;FREINAGE;PLAQUETTE;95520;OSNY;17/09/2015;29.98;47.36
7;V01044;EMBRAYAGE;HYDRAULIQUE,  EMETTEUR, RECEPTEUR, BUTEE;95480;PIERRELAYE;05/11/2015;99.89;25.72
6;V00331;FILTRATION;FILTRE A HUILE;95640;MARINES;28/10/2016;3.91;25.83
1;V01144;FREINAGE;TEMOIN D'USURE;75017;PARIS 17EME ARRONDISSEMENT;30/01/2017;410.76;55.72
7;V00740;LIQUIDE;HUILE MOTEUR;95300;ENNERY;18/05/2016;46.53;37.89
6;V00228;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;ESSUIE GLACES;95300;ENNERY;24/01/2017;50.88;36.67
5;V00411;ECLAIRAGE;LAMPE, AMPOULE, AMPOULE PHARE;;;16/01/2017;18.35;57.66
8;V00166;FREINAGE;PLAQUETTE;95650;PUISEUX PONTOISE;29/09/2015;120.34;27.49
1;V00178;EQUIPEMENT ATELIER;DIVERS EQUIPEMENT ATELIER;95280;JOUY LE MOUTIER;13/01/2015;89.28;40.05
5;V01095;DIVERS;DIVERS 0;95000;CERGY;16/11/2015;298.35;11.06
7;V00659;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;95810;EPIAIS RHUS;01/04/2015;38.64;51.66
5;V00411;DIVERS;CABLE;;;28/05/2015;15.60;35
7;V00739;FILTRATION;FILTRE A AIR;95000;CERGY;30/10/2017;11.23;27.69
1;V00638;29;;95840;VILLIERS ADAM;16/04/2015;89.40;57.72
2;V01065;VITRAGE;RETROVISEUR, MIROIR;78630;ORGEVAL;29/07/2015;14.38;38.46
7;V00464;LIQUIDE;LAVE GLACE;95301;PONTOISE;20/11/2015;157.50;24
7;V01044;ESSUYAGE;;95480;PIERRELAYE;14/02/2015;61.68;33.33
5;V00411;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;ADDITIF;;;13/11/2017;56.34;33.35
5;V00411;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;ESSUIE GLACES;;;17/08/2017;39;36.67
1;V01208;VITRAGE;ABRASIF, MASQUAGE;95320;ST LEU LA FORET;02/05/2017;86.40;38.75
8;V00166;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;ESSUIE GLACES;95650;PUISEUX PONTOISE;23/11/2015;23.98;19.18
8;V00166;ENTRAINEMENT;COURROIES;95650;PUISEUX PONTOISE;29/12/2017;12.90;36.12
5;V01071;FILTRATION;FILTRE A HUILE;95000;CERGY;12/07/2016;6;25.67
2;V00798;EQUIPEMENT ATELIER;MATERIEL;92150;SURESNES;06/05/2015;117.33;79.47
8;V00166;FILTRATION;FILTRE A CARBURANT;95650;PUISEUX PONTOISE;10/08/2015;20.72;21.77
6;V00979;DIRECTION, SUSPENSION, TRANSMISSION;RESSORT;95450;VIGNY;11/01/2017;102;26.67
8;V00968;FREINAGE;PLAQUETTE;95310;ST OUEN L AUMONE;19/05/2016;-27.84;27.51
6;V00188;INDEFINI;INDEFINI;27620;GASNY;23/08/2017;60;0
8;V00968;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;ESSUIE GLACES;95310;ST OUEN L AUMONE;28/06/2017;-8.37;19.24
5;V00956;FILTRATION;FILTRE A HUILE;;;17/11/2017;3.37;9.20
7;V00641;FREINAGE;KIT DE FREIN;95650;BOISSY L AILLERIE;07/12/2015;337.37;40.05
1;V00358;ENTRAINEMENT;ALTERNATEUR;;;29/05/2015;0;0
2;V00822;VITRAGE;DIVERS VITRAGE 0;95150;TAVERNY;23/02/2016;190.57;47.27
6;V00331;LIQUIDE;HUILE MOTEUR;95640;MARINES;02/04/2016;31.15;42.86
5;V00411;FILTRATION;FILTRE A HUILE;;;11/01/2017;14.98;25.70
7;V00701;VITRAGE;COLLE, MASTIC, REVETEMENT;95490;VAUREAL;10/09/2015;10.50;50
5;V00411;ELECTRICITE;BATTERIE;;;08/04/2015;107.09;38.18
5;V00411;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;ADDITIF;;;20/07/2016;33.27;31.26
7;V01115;FREINAGE;HYDRAULIQUE, MAITRE, CYLINDRE, CORRECTEUR, SERVO..;95520;OSNY;14/12/2016;73;44.36
2;V00763;VITRAGE;DIVERS VITRAGE 0;92500;RUEIL MALMAISON;30/08/2017;93.45;39.41
5;V00956;ENTRAINEMENT;COURROIES;;;10/03/2017;11.90;40
7;V00695;FILTRATION;FILTRE A CARBURANT;95450;CONDECOURT;26/05/2016;25.35;21.74
1;V00638;ENTRAINEMENT;KIT DE DISTRIBUTION AVEC POMPE A EAU;95840;VILLIERS ADAM;04/11/2015;126.07;41.54
7;V00739;ENTRAINEMENT;COURROIES;95000;CERGY;31/10/2016;15.06;48.27
5;V00559;FILTRATION;FILTRE A CARBURANT;60119;HENONVILLE;05/01/2016;59.93;25.66
5;V01010;EQUIPEMENT ATELIER;CONSOMABLE;95800;COURDIMANCHE;26/07/2017;23.25;30.45
2;V00803;EQUIPEMENT ATELIER;CONSOMABLE;78380;BOUGIVAL;10/07/2017;28.60;30
1;V01191;FREINAGE;PLAQUETTE;95000;CERGY;18/01/2017;18;51.17
7;V00695;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;ESSUIE GLACES;95450;CONDECOURT;17/11/2016;47.70;23.98
1;V01114;EQUIPEMENT ATELIER;OUTILLAGE;95520;OSNY;21/12/2016;673;25.53
2;V00847;EQUIPEMENT ATELIER;MATERIEL;95160;MONTMORENCY;28/07/2016;39.15;74.46
8;V00166;DIRECTION, SUSPENSION, TRANSMISSION;SOUFFLET;95650;PUISEUX PONTOISE;08/10/2015;16.47;27.26
1;V00449;EQUIPEMENT ATELIER;OUTILLAGE;95027;CERGY-PONTOISE CEDEX;19/04/2016;1,064.48;8.77
5;V01105;LIQUIDE;HUILE DE BOITE;.;.;29/07/2015;34.59;37.90
5;V00960;FREINAGE;PLAQUETTE;;;09/02/2015;-29.30;35.56
5;V00411;ELECTRICITE;BOBINE;;;26/12/2017;64.79;21.82
7;V01162;ECLAIRAGE;PHARE, FEU ARRIERE, CLIGNOTANT;95300;HEROUVILLE;30/11/2016;37.61;27.57
1;V00636;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;ESSUIE GLACES;95310;ST OUEN L AUMONE;14/03/2016;6.12;36.60
5;V00411;ENTRAINEMENT;COURROIES;;;23/02/2016;-10.49;3.24
6;V00979;FREINAGE;PLAQUETTE;95450;VIGNY;09/02/2017;-2.09;242.11
8;V00968;FILTRATION;FILTRE HABITACLE;95310;ST OUEN L AUMONE;16/03/2015;10.06;29.32
5;V00431;DIRECTION, SUSPENSION, TRANSMISSION;SOUFFLET;;;11/06/2016;21.34;33.36
8;V00166;ENTRAINEMENT;COURROIES;95650;PUISEUX PONTOISE;10/12/2015;5.38;33.27
1;V00449;DIRECTION, SUSPENSION, TRANSMISSION;BUTEE, SEMELLE, COUPELLE, KIT DE PROTECTION;95027;CERGY-PONTOISE CEDEX;11/10/2017;71.78;26.66
1;V00638;FILTRATION;FILTRE HABITACLE;95840;VILLIERS ADAM;10/12/2015;2.61;29.12
5;V00411;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;;;27/01/2017;1.58;75.32
1;V00624;COMPTABILITE;CONSIGNE;95310;ST OUEN L AUMONE;25/03/2015;75;0
5;V00411;ENTRAINEMENT;GALET, POULIE, DAMPER;;;22/09/2017;29.87;27.28
6;V00979;FILTRATION;FILTRE A CARBURANT;95450;VIGNY;17/11/2017;22.08;29.53
7;V00739;ECLAIRAGE;PHARE, FEU ARRIERE, CLIGNOTANT;95000;CERGY;06/06/2017;92.90;20
7;V00641;EQUIPEMENT ATELIER;OUTILLAGE;95650;BOISSY L AILLERIE;08/09/2015;46.43;28.95
5;V00413;ELECTRICITE;CAPTEURS, SONDES;95610;ERAGNY;13/10/2015;20.79;58.78
6;V00289;LIQUIDE;HUILE MOTEUR;;;07/11/2016;28.79;42.86
8;V00968;FREINAGE;DISQUE;95310;ST OUEN L AUMONE;17/08/2016;40;27.50
5;V00411;LIQUIDE;LAVE GLACE;;;02/12/2016;8.80;28.98
1;V01029;ECLAIRAGE;LAMPE, AMPOULE, AMPOULE PHARE;95800;CERGY;23/07/2016;22.91;40.46
1;V00937;DIRECTION, SUSPENSION, TRANSMISSION;ROULEMENT;95310;ST OUEN L AUMONE;17/11/2015;-116.71;30.77
2;V01065;FILTRATION;FILTRE HABITACLE;78630;ORGEVAL;17/07/2015;32.38;64.67
6;V00331;FILTRATION;FILTRE A CARBURANT;95640;MARINES;26/05/2016;24.68;32.37
7;V01162;LIQUIDE;HUILE MOTEUR;95300;HEROUVILLE;10/01/2017;39.38;42.86
