8;V00968;ENTRAINEMENT;KIT DE DISTRIBUTION AVEC POMPE A EAU;95310;ST OUEN L AUMONE;27/07/2017;128.12;30.91
5;V00424;FILTRATION;FILTRE A AIR;;;20/07/2017;9.86;31.34
1;V00633;FILTRATION;FILTRE HABITACLE;95150;TAVERNY;12/01/2017;9.31;29.43
1;V01201;LIQUIDE;HUILE MOTEUR;95520;OSNY;07/12/2017;18.50;20.16
7;V00464;FILTRATION;FILTRE A HUILE;95301;PONTOISE;24/11/2017;6.62;29.61
7;V01044;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;95480;PIERRELAYE;06/02/2015;16.43;45.65
5;V00411;FILTRATION;FILTRE A CARBURANT;;;14/02/2015;11.46;38.05
7;V00676;LIQUIDE;HUILE DE BOITE;95520;OSNY;23/11/2015;12.68;42.03
2;V00778;VITRAGE;DIVERS VITRAGE 0;78370;PLAISIR;19/09/2016;52.44;35.41
7;V00676;FREINAGE;PLAQUETTE;95520;OSNY;23/09/2016;21.02;47.38
8;V00166;FILTRATION;FILTRE A HUILE;95650;PUISEUX PONTOISE;27/10/2016;16.58;21.77
1;V01193;VITRAGE;PEINTURE, VERNIS, DURCISSEUR, PPS;78700;CONFLANS STE HONORINE;17/05/2017;201.61;53.10
8;V01009;FILTRATION;FILTRE A HUILE;78130;LES MUREAUX;28/08/2015;6.93;21.79
1;V00992;VITRAGE;ABRASIF, MASQUAGE;95220;HERBLAY;08/09/2015;121.12;44.32
1;V00074;DIVERS;DIVERS 0;95250;BEAUCHAMP;02/03/2017;195;23.08
5;V00411;EMBRAYAGE;KIT EMBRAYAGE;;;31/05/2017;199.08;26
5;V00110;FILTRATION;FILTRE A CARBURANT;95450;US;09/10/2017;-23.35;41.24
1;V00636;FILTRATION;FILTRE A HUILE;95310;ST OUEN L AUMONE;03/02/2016;6.95;25.76
1;V01072;DIRECTION, SUSPENSION, TRANSMISSION;SOUFFLET;95000;CERGY;30/01/2016;15.50;34.58
1;V00624;EMBRAYAGE;KIT EMBRAYAGE;95310;ST OUEN L AUMONE;12/07/2017;178.20;36.67
1;V00330;ECLAIRAGE;PHARE, FEU ARRIERE, CLIGNOTANT;95015;CERGY PONTOISE;27/12/2017;55.91;5.17
5;V00411;COMPTABILITE;CONSIGNE;;;15/04/2016;50;0
7;V00739;FREINAGE;DISQUE AVEC ROULEMENT;95000;CERGY;06/07/2016;-29.46;35
5;V00411;FILTRATION;FILTRE HABITACLE;;;09/03/2017;20.23;29.36
6;V00192;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;PLAQUE D'IMMATRICULATION;95650;PUISEUX-PONTOISE;14/12/2017;9;52.22
7;V00739;FREINAGE;PLAQUETTE;95000;CERGY;30/09/2016;9.58;37.47
2;V00807;VITRAGE;ABRASIF, MASQUAGE;95650;BOISSY L AILLERIE;05/09/2016;67.95;54.63
11;V00892;VITRAGE;DIVERS VITRAGE 0;91640;BRIIS SOUS FORGES;13/09/2016;323.28;39.78
7;V00740;DIVERS;CABLE;95300;ENNERY;24/01/2017;28.63;30.67
5;V00411;FILTRATION;FILTRE A CARBURANT;;;27/05/2017;43.47;33.43
8;V00968;ENTRAINEMENT;COURROIES;95310;ST OUEN L AUMONE;16/02/2016;13.84;48.27
8;V00968;FILTRATION;FILTRE A CARBURANT;95310;ST OUEN L AUMONE;08/08/2016;-82.04;21.73
7;V00739;FILTRATION;FILTRE A AIR;95000;CERGY;18/08/2016;11.08;25.63
7;V00676;LIQUIDE;HUILE MOTEUR;95520;OSNY;20/05/2015;21.01;45.64
7;V00660;ECHAPPEMENT;TUBE, SILENCIEUX;95000;CERGY;09/03/2015;153.40;19.47
7;V00695;FILTRATION;FILTRE A AIR;95450;CONDECOURT;11/01/2016;10.86;25.60
1;V00074;FILTRATION;FILTRE A CARBURANT;95250;BEAUCHAMP;24/06/2015;20.23;25.65
5;V00411;ENTRAINEMENT;COURROIE DE DISTRIBUTION;;;23/03/2017;25.53;39.99
6;V00228;FILTRATION;FILTRE A CARBURANT;95300;ENNERY;22/09/2017;11.68;29.54
6;V00228;FILTRATION;FILTRE HABITACLE;95300;ENNERY;29/02/2016;11.34;29.37
1;V00043;DIRECTION, SUSPENSION, TRANSMISSION;VERIN DE HAYON;95150;TAVERNY;21/04/2017;58.02;40.30
7;V00676;FILTRATION;FILTRE A CARBURANT;95520;OSNY;27/10/2016;22.05;31.11
5;V00411;27;;;;19/02/2015;6.81;35.68
7;V00676;EMBRAYAGE;KIT EMBRAYAGE AVEC VOLANT MOTEUR;95520;OSNY;06/06/2017;362.70;29.23
5;V00411;LIQUIDE;HUILE DE BOITE;;;09/06/2016;14.18;33.85
7;V00695;LIQUIDE;HUILE MOTEUR;95450;CONDECOURT;07/09/2017;28.34;37.90
7;V00739;FILTRATION;FILTRE A HUILE;95000;CERGY;10/01/2017;41.12;21.77
8;V00968;MOTEUR;SUPPORT MOTEUR;95310;ST OUEN L AUMONE;18/09/2015;-51;35.90
6;V01098;FREINAGE;PLAQUETTE;.;.;03/07/2015;41.63;49.99
14;V01214;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;03/03/2017;7.20;34.03
7;V00740;ENTRAINEMENT;GALET, POULIE, DAMPER;95300;ENNERY;30/11/2017;30.24;32.74
2;V01003;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;78500;SARTROUVILLE;21/02/2017;5.90;13.56
8;V00968;FILTRATION;FILTRE A AIR;95310;ST OUEN L AUMONE;15/03/2017;10.52;25.67
5;V00411;DIRECTION, SUSPENSION, TRANSMISSION;RESSORT;;;17/01/2017;110.50;32.31
5;V00411;ELECTRICITE;BOUGIE DE PRECHAUFFAGE;;;14/10/2015;38.40;40
